"ID","First Name","Mobile No","Status","Salutation","Rating"
"CRM-LEAD-2024-00020","roro","01225796352","New","Madam",1.0
"CRM-LEAD-2024-00019","Afaf","","New","Madam",1.0
"CRM-LEAD-2024-00018","Bosy","","Visiting","Mrs",0.5
"CRM-LEAD-2024-00017","Tout ","","Showing","Mr",1.0
"CRM-LEAD-2024-00016","vi","","Showing","",""
"CRM-LEAD-2024-00015","roro","","Showing","",0.0
"CRM-LEAD-2024-00014","ttt","","Showing","",""
"CRM-LEAD-2024-00013","mm","","Showing","",""
"CRM-LEAD-2024-00012","bb","","Not Available","",""
"CRM-LEAD-2024-00011","sh","","Showing","",""
"CRM-LEAD-2024-00010","b","","Showing","",""
"CRM-LEAD-2024-00009","sec","","Showing","",""
"CRM-LEAD-2024-00008","mama","","Showing","",""
"CRM-LEAD-2024-00007","testtt","","Showing","",""
"CRM-LEAD-2024-00006","mariam","","Showing","",""
"CRM-LEAD-2024-00005","cal","","Visiting","",""
"CRM-LEAD-2024-00004","bosy","","Showing","",""
"CRM-LEAD-2024-00003","heba","","Showing","",""
"CRM-LEAD-2024-00002","roro","","Showing","",""
"CRM-LEAD-2024-00001","Roaa","","Showing","Dr",""
